################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.3095484795785259E-01 a       446     0    21     1     6
 -2.0249659572780452E+00 a       447     0    21     1     7
 -4.4874429126125364E+00 a       448     0    21     1     8
  2.5881796982288838E+00 a       449     0    21     1     9
  2.9220885795065588E+00 a       450     0    21     1    10
 -1.7338369578151327E+00 a       451     0    21     1    11
 -1.1627738382028543E-01 a       452     0    21     1    12
 -1.5389535620959782E+00 a       453     0    21     1    13
  3.7568337385546802E-01 a       454     0    21     1    14
 -1.4845647591301567E+00 a       455     0    21     1    15
  2.9118026783012647E+00 a       456     0    21     1    16
 -5.6508945565166879E-01 a       457     0    21     1    17
 -3.9201457628426600E-01 a       458     0    21     1    18
 -2.6011381200922377E+00 a       459     0    21     1    19
 -5.9400189574238249E-01 a       460     0    21     1    20
 -1.4386990000503443E+00 a       461     0    21     1    21
 -1.8585796756174702E-01 a       462     0    21     1    22
 -3.2936614758001143E-01 a       463     0    22     1     1
 -1.2152055999516205E+00 a       464     0    22     1     2
 -1.4198277207526666E+00 a       465     0    22     1     3
 -6.1038567867046445E-01 a       466     0    22     1     4
  5.5057320351521066E-01 a       467     0    22     1     5
 -5.2472743986888437E-01 a       468     0    22     1     6
  5.4807620785976574E-01 a       469     0    22     1     7
 -2.8090107167838763E-01 a       470     0    22     1     8
  1.5666381923338106E+00 a       471     0    22     1     9
  9.7013692926088912E-02 a       472     0    22     1    10
 -1.6907349933606020E-01 a       473     0    22     1    11
  2.1545859644320808E+00 a       474     0    22     1    12
  1.6281871969394264E+00 a       475     0    22     1    13
  1.1585264392666557E+00 a       476     0    22     1    14
  9.8235746726950102E-01 a       477     0    22     1    15
 -1.4820720160296064E+00 a       478     0    22     1    16
  4.0562470689956148E-01 a       479     0    22     1    17
  5.6066509865583503E-01 a       480     0    22     1    18
 -1.3065152462848187E-01 a       481     0    22     1    19
 -2.6377114488493247E-01 a       482     0    22     1    20
 -1.1812601492692572E+00 a       483     0    22     1    21
  5.4638100772703292E-02 a       484     0    22     1    22
  3.0708919985559557E-01 a       485     0    23     1     1
 -1.3112898752809001E+00 a       486     0    23     1     2
 -5.4450343870540419E-01 a       487     0    23     1     3
 -4.2853166168533052E-01 a       488     0    23     1     4
 -4.6892894370120314E-01 a       489     0    23     1     5
  8.0507982774552359E-02 a       490     0    23     1     6
  1.0351581389282762E-01 a       491     0    23     1     7
  7.2483394017226843E-01 a       492     0    23     1     8
 -3.7045000575112601E+00 a       493     0    23     1     9
  9.2340470033492372E-01 a       494     0    23     1    10
 -1.1830638425926507E+00 a       495     0    23     1    11
 -8.6294434170853129E-01 a       496     0    23     1    12
 -2.2788844612770265E+00 a       497     0    23     1    13
  8.8461693092642169E-01 a       498     0    23     1    14
 -3.1479361704787263E+00 a       499     0    23     1    15
 -1.2748174167730431E+00 a       500     0    23     1    16
  1.6213577882848951E-01 a       501     0    23     1    17
 -3.6224441376467403E-01 a       502     0    23     1    18
