################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         62   8.1565438837842164E-03   1.9286560967544933E-01   8.6485979722809511E-02   2.8960914003492388E-02
         2         63   1.6359052899630826E-03   2.0244613221386112E-01   8.8255972003479954E-02   3.4105023767828500E-02
         2         64   7.8675419064252397E-11   8.5420578139647180E-02   1.7626380243965064E-02   1.2563643216228160E-02
         2         65   8.2293906909249167E-04   1.0105050301898845E-01   4.4816189813479172E-02   1.4373415045653322E-02
         2         66   2.1440656490136293E-04   1.0247818877546952E-01   4.4735506177302028E-02   1.6334016530136945E-02
         2         67   1.5702198397506656E-13   4.5746716384287747E-02   9.9199728290663980E-03   6.9265228326685921E-03
         2         68   0.0000000000000000E+00   2.3310748641536986E-02   5.9393710884222024E-03   6.9590724033508685E-03
         2         69   9.1805244133946335E-06   3.1225004638942764E-02   1.1821610639861473E-02   6.9767043147472277E-03
         2         70   0.0000000000000000E+00   8.3889576145986747E-03   1.7119466271176388E-03   2.3616677670522733E-03
         2         71   1.1712776373246329E-04   1.5574951571114579E-02   5.4479962028839372E-03   4.4505628067967066E-03
         2         72   0.0000000000000000E+00   2.3729563132128217E-02   5.7639922679293262E-03   5.2291187564905270E-03
         2         73   1.8210780332429815E-04   4.9173619212493760E-02   2.0475489085998069E-02   1.1605112603525267E-02
         2         74   0.0000000000000000E+00   5.7425783030651311E-03   1.1630545192960686E-03   1.3573495725947001E-03
         2         75   1.9095944765039580E-03   2.6920167496409617E-02   1.3447755470250318E-02   5.6744487870128858E-03
         2         76   0.0000000000000000E+00   9.5647900453290999E-03   2.2521568461798089E-03   2.1543672526787741E-03
         2         77   1.3508062276865293E-07   8.9946196438757189E-03   3.6659399448781944E-03   2.3986154953975908E-03
         2         78   0.0000000000000000E+00   8.4045126911834484E-03   1.5526410411304918E-03   1.2718176414956168E-03
         2         79   0.0000000000000000E+00   5.7713659047346792E-03   6.5264616441955555E-04   6.4542725078312014E-04
         2         80   1.4925260969903903E-04   2.7417135093907370E-02   9.5051206317661556E-03   7.1190276698015649E-03
         2         81   1.1817674535250042E-03   1.3149677975247298E-02   6.4284497204958038E-03   2.3808879047331095E-03
         2         82   0.0000000000000000E+00   8.1320285038962402E-03   1.8295185613662057E-03   2.4247517554798676E-03
         2         83   9.9196447910562542E-06   3.5066006844003894E-01   1.0217161838475418E-01   9.0759380884123844E-02
         2         84   1.4992115152826161E-03   5.2062873008114696E-01   2.7064552139502007E-01   1.0875358208183306E-01
         2         85   0.0000000000000000E+00   1.5894733007223366E-01   4.0899372556531470E-02   4.3321127519359029E-02
         2         86   5.1481669963613572E-03   3.8067026175960283E-01   1.2590803493906827E-01   1.0912292661486325E-01
         2         87   0.0000000000000000E+00   2.0360873367927854E-01   4.2255883814278729E-02   4.0286743374469143E-02
         2         88   0.0000000000000000E+00   4.1172132310380159E-02   2.2024814381396366E-03   8.1387086937513044E-03
         2         89   1.5115558093576524E-06   2.6991756163690417E-01   7.5783332756749477E-02   5.6281238425552382E-02
         2         90   2.6902149523377402E-03   3.9593850619660159E-01   1.9001428494103517E-01   8.5241049021183554E-02
         2         91   0.0000000000000000E+00   9.1988720210484265E-02   2.3563090707509685E-02   2.3701915986866339E-02
         2         92   1.5916169039629603E-02   2.5213794617308727E-01   1.1910187510151017E-01   5.6938343605123107E-02
         2         93   0.0000000000000000E+00   1.1118684746915924E-01   3.0331168430500141E-02   2.4587649917082247E-02
         2         94   0.0000000000000000E+00   6.7251005399474262E-02   1.5424312232749910E-02   1.5435076223075663E-02
         2         95   0.0000000000000000E+00   1.1370678958055083E-01   1.9272495484896939E-02   2.0898584213320141E-02
         2         96   8.1325367094140895E-10   7.8556939568676223E-02   1.7703538459811371E-02   1.2267232858125159E-02
         2         97   1.3571134300879850E-03   1.6758104616345801E-01   6.9586695399766293E-02   3.9539173493062067E-02
         2         98   3.7639128648411450E-06   8.6865818653689100E-02   1.8413661750621767E-02   1.6658178344515065E-02
         2         99   1.5273004104251467E-04   1.6113352304757828E-01   6.7346054864004856E-02   3.7897356692493493E-02
         2        100   0.0000000000000000E+00   3.9281029100880535E-02   6.7915924537348448E-03   6.9079998840798030E-03
         2        101   2.9847467572274424E-06   1.2583721990884453E-01   2.6595406672546749E-02   3.0978074494378536E-02
         2        102   0.0000000000000000E+00   7.8620607578285859E-02   1.0973977203921513E-02   1.4445357295082405E-02
         2        103   0.0000000000000000E+00   1.9306109220852592E-02   6.3925961759636813E-04   2.4947055670912887E-03
         2        104   2.0497758781153147E-02   1.4605208482333547E+00   6.2221951779516171E-01   3.2279066074964441E-01
         2        105   1.4085621292371106E-01   2.8983941768027917E+00   1.4655330686345196E+00   5.4339096709165702E-01
         2        106   6.7371560456438249E-03   5.4948676888086201E-01   2.5277675712369713E-01   1.1557071268317681E-01
         2        107   9.4808989922141526E-02   2.0759503234936076E+00   6.4880037305176508E-01   4.2365067968946885E-01
         2        108   3.0419646382018142E-03   9.0942552530795251E-01   2.8157651345724272E-01   1.6042928932739506E-01
         2        109   0.0000000000000000E+00   1.2236513212441630E-01   1.4248263909794140E-02   2.2837906962806957E-02
         2        110   3.3572711635124874E-02   1.3114778914829925E+00   5.5684108370544882E-01   2.4728046414544350E-01
         2        111   3.9022813376389826E-01   2.9264897427001166E+00   1.4532236479258556E+00   4.6318067307043820E-01
         2        112   5.5061156762245813E-03   4.1664608258689223E-01   1.9424202979844130E-01   7.6364384599320420E-02
         2        113   2.8052494720824145E-01   1.9156150610472538E+00   8.4751604831748406E-01   2.6618574779464615E-01
         2        114   1.1803104055940471E-02   6.7217426238676081E-01   2.5205696792937743E-01   1.1858068026869534E-01
